frame.time_relative,tcp.seq,tcp.analysis.ack_rtt
"0.076668000","0","0.076467000"
"0.076743000","1","0.000075000"
"0.128198000","1","0.051349000"
"0.128254000","38","0.000055000"
"0.222385000","2","0.093953000"
"0.273546000","2","0.051113000"
"0.315060000","141","0.041513000"
"0.325231000","0","0.051434000"
"0.325311000","1","0.000080000"
"0.376242000","1","0.050821000"
"0.376499000","141","0.000008000"
"0.426964000","141","0.000017000"
"0.477994000","1","0.050987000"
"0.477995000","1","0.050974000"
"0.478576000","1","0.051550000"
"0.479332000","1","0.052288000"
"0.479832000","1","0.052784000"
"0.529428000","1","0.051371000"
"0.529429000","1","0.051345000"
"0.529775000","1","0.051532000"
"0.530483000","1","0.052199000"
"0.531009000","1","0.052411000"
"0.531602000","1","0.052981000"
"0.532111000","1","0.052761000"
"0.532836000","1","0.053468000"
"0.533420000","1","0.053571000"
"0.533981000","1","0.054085000"
"0.580363000","1","0.050861000"
"0.580467000","1","0.050935000"
"0.581059000","1","0.051347000"
"0.581693000","1","0.051966000"
"0.582221000","1","0.052438000"
"0.582795000","1","0.052993000"
"0.583419000","1","0.052929000"
"0.584011000","1","0.053514000"
"0.584627000","1","0.053611000"
"0.585202000","1","0.054171000"
"0.585861000","1","0.054253000"
"0.586396000","1","0.054781000"
"0.587043000","1","0.054924000"
"0.587636000","1","0.055511000"
"0.588102000","1","0.055260000"
"0.588861000","1","0.056013000"
"0.589366000","1","0.055939000"
"0.589996000","1","0.056564000"
"0.590588000","1","0.056600000"
"0.591252000","1","0.057258000"
"0.631251000","1","0.050827000"
"0.631306000","1","0.050846000"
"0.632050000","1","0.051449000"
"0.632492000","1","0.051876000"
"0.633140000","1","0.052055000"
"0.633751000","1","0.052633000"
"0.634312000","1","0.052587000"
"0.635022000","1","0.053273000"
"0.635573000","1","0.053328000"
"0.636070000","1","0.053803000"
"0.636856000","1","0.054038000"
"0.637409000","1","0.054574000"
"0.637991000","1","0.054556000"
"0.638589000","1","0.055139000"
"0.639062000","1","0.055041000"
"0.639847000","1","0.055819000"
"0.640432000","1","0.055797000"
"0.640979000","1","0.056337000"
"0.641670000","1","0.056459000"
"0.642074000","1","0.056856000"
"0.642864000","1","0.056997000"
"0.643463000","1","0.057588000"
"0.644015000","1","0.057613000"
"0.644612000","1","0.058205000"
"0.645137000","1","0.058084000"
"0.645857000","1","0.058792000"
"0.646487000","1","0.058844000"
"0.647026000","1","0.059377000"
"0.647697000","1","0.059588000"
"0.648188000","1","0.060074000"
"0.648844000","1","0.059977000"
"0.649472000","1","0.060597000"
"0.650034000","1","0.060660000"
"0.650746000","1","0.061362000"
"0.651190000","1","0.061187000"
"0.651928000","1","0.061919000"
"0.652557000","1","0.061962000"
"0.653030000","1","0.062429000"
"0.653770000","1","0.062511000"
"0.654356000","1","0.063092000"
"0.681966000","1","0.050678000"
"0.681966000","1","0.050665000"
"0.682809000","1","0.051499000"
"0.683608000","1","0.051548000"
"0.684513000","1","0.052446000"
"0.685084000","1","0.052583000"
"0.686047000","1","0.052898000"
"0.686755000","1","0.052996000"
"0.687627000","1","0.053861000"
"0.688638000","1","0.054318000"
"0.689493000","1","0.054462000"
"0.690353000","1","0.054771000"
"0.691167000","1","0.055578000"
"0.692115000","1","0.056036000"
"0.692983000","1","0.056117000"
"0.693969000","1","0.056551000"
"0.694942000","1","0.057516000"
"0.695827000","1","0.057827000"
"0.696801000","1","0.058206000"
"0.697623000","1","0.058556000"
"0.698548000","1","0.059477000"
"0.699459000","1","0.059608000"
"0.700724000","1","0.060288000"
"0.701902000","1","0.060919000"
"0.703042000","1","0.061368000"
"0.704221000","1","0.062143000"
"0.705575000","1","0.062707000"
"0.706735000","1","0.063267000"
"0.707901000","1","0.063879000"
"0.709071000","1","0.064454000"
"0.710373000","1","0.065227000"
"0.711523000","1","0.065659000"
"0.712774000","1","0.066282000"
"0.713943000","1","0.066911000"
"0.715085000","1","0.067383000"
"0.716412000","1","0.068219000"
"0.717656000","1","0.068806000"
"0.718843000","1","0.069365000"
"0.719977000","1","0.069937000"
"0.720642000","1","0.069891000"
"0.721239000","1","0.070042000"
"0.721879000","1","0.069945000"
"0.722456000","1","0.069894000"
"0.722971000","1","0.069935000"
"0.723618000","1","0.069843000"
"0.724327000","1","0.069966000"
"0.732685000","1","0.050672000"
"0.732803000","1","0.050763000"
"0.733471000","1","0.050635000"
"0.734141000","1","0.051280000"
"0.734730000","1","0.051097000"
"0.734990000","1","0.051337000"
"0.735645000","1","0.050552000"
"0.736502000","1","0.050446000"
"0.737428000","1","0.050664000"
"0.738393000","1","0.050757000"
"0.739192000","1","0.051550000"
"0.740081000","1","0.051438000"
"0.741012000","1","0.051514000"
"0.741968000","1","0.051611000"
"0.742868000","1","0.051697000"
"0.743858000","1","0.051739000"
"0.744697000","1","0.051707000"
"0.745685000","1","0.051712000"
"0.746505000","1","0.051559000"
"0.747454000","1","0.051623000"
"0.748290000","1","0.052434000"
"0.748562000","1","0.051752000"
"0.749520000","1","0.051890000"
"0.750542000","1","0.051984000"
"0.751454000","1","0.051987000"
"0.752255000","1","0.051524000"
"0.753105000","1","0.052368000"
"0.754008000","1","0.052100000"
"0.754817000","1","0.052903000"
"0.755277000","1","0.052228000"
"0.755962000","1","0.052907000"
"0.756631000","1","0.052402000"
"0.757044000","1","0.052809000"
"0.757789000","1","0.052207000"
"0.758406000","1","0.052819000"
"0.758923000","1","0.052182000"
"0.759491000","1","0.052744000"
"0.760092000","1","0.052184000"
"0.760724000","1","0.052811000"
"0.761447000","1","0.052369000"
"0.761915000","1","0.052832000"
"0.762202000","1","0.053117000"
"0.762851000","1","0.052470000"
"0.763552000","1","0.053166000"
"0.764009000","1","0.052479000"
"0.764693000","1","0.053157000"
"0.765319000","1","0.052538000"
"0.765949000","1","0.053162000"
"0.766500000","1","0.052548000"
"0.767051000","1","0.053092000"
"0.767804000","1","0.052712000"
"0.768337000","1","0.053240000"
"0.768968000","1","0.052549000"
"0.769632000","1","0.053208000"
"0.770102000","1","0.052439000"
"0.770721000","1","0.053052000"
"0.771479000","1","0.053792000"
"0.771950000","1","0.053099000"
"0.772554000","1","0.053697000"
"0.773127000","1","0.053141000"
"0.773814000","1","0.053167000"
"0.774390000","1","0.053144000"
"0.774994000","1","0.053109000"
"0.775650000","1","0.053189000"
"0.775827000","1","0.052850000"
